date,quarter,revenue,operating_expenses,capital_expenditures,net_cashflow,cash_balance,cash_flow_category,forecast_accuracy
2023-02-01,Q1,185293.19,111406.32,0.0,73886.87,3199475.08,financing,0.98
2023-02-02,Q1,163182.07,100588.4,0.0,62593.67,3262068.75,financing,0.95
2023-02-03,Q1,139175.1,52070.33,0.0,87104.77,3349173.52,operating,0.867
2023-02-04,Q1,172844.53,121270.1,44874.05,6700.39,3355873.91,financing,0.93
2023-02-05,Q1,92751.48,70887.03,16254.67,5609.78,3361483.69,operating,0.937
2023-02-06,Q1,353477.81,103390.65,71632.0,178455.15,3539938.84,financing,0.922
2023-02-07,Q1,168343.07,148840.71,0.0,19502.36,3559441.2,financing,0.902
2023-02-08,Q1,176847.68,127790.87,0.0,49056.81,3608498.01,investing,0.942
2023-02-09,Q1,322647.53,82995.35,15641.63,224010.55,3832508.56,financing,0.852
2023-02-10,Q1,276291.64,48849.73,6746.25,220695.66,4053204.22,investing,0.968
2023-02-11,Q1,58711.09,106943.27,2512.75,-50744.93,4002459.29,financing,0.952
2023-02-12,Q1,367437.23,56837.94,0.0,310599.28,4313058.57,investing,0.962
2023-02-13,Q1,161561.45,135748.91,0.0,25812.55,4338871.12,investing,0.884
2023-02-14,Q1,197211.64,97433.18,2786.55,96991.91,4435863.03,investing,0.932
2023-02-15,Q1,155661.64,93979.83,0.0,61681.81,4497544.84,operating,0.867
2023-02-16,Q1,156740.71,114306.57,8605.19,33828.96,4531373.8,investing,0.874
2023-02-17,Q1,236495.4,87879.61,0.0,148615.79,4679989.59,operating,0.912
2023-02-18,Q1,99422.82,120767.03,0.0,-21344.21,4658645.38,investing,0.875
2023-02-19,Q1,108255.61,78935.77,0.0,29319.84,4687965.22,operating,0.862
2023-02-20,Q1,154273.89,65244.89,0.0,89029.0,4776994.22,investing,0.877
2023-02-21,Q1,167499.73,39611.67,19891.55,107996.51,4884990.73,investing,0.954
2023-02-22,Q1,166219.93,74615.97,0.0,91603.96,4976594.69,operating,0.964
2023-02-23,Q1,181133.56,138765.63,0.0,42367.93,5018962.62,financing,0.947
2023-02-24,Q1,119350.3,79841.57,0.0,39508.73,5058471.35,operating,0.898
2023-02-25,Q1,122038.38,255162.71,0.0,-133124.33,4925347.02,financing,0.898
2023-02-26,Q1,139335.21,190610.45,17170.77,-68446.01,4856901.01,operating,0.855
2023-02-27,Q1,249122.76,66491.25,0.0,182631.5,5039532.51,operating,0.966
2023-02-28,Q1,758759.7,154481.55,0.0,604278.15,5643810.66,financing,0.864
2023-03-01,Q1,348674.36,36949.27,0.0,311725.09,5955535.75,investing,0.882
2023-03-02,Q1,111504.99,55887.64,0.0,55617.35,6011153.1,investing,0.853
2023-03-03,Q1,95737.82,75981.92,10165.7,9590.2,6020743.3,investing,0.966
2023-03-04,Q1,136571.75,193853.24,53190.75,-110472.24,5910271.06,investing,0.953
2023-03-05,Q1,105136.31,98585.71,236648.08,-230097.48,5680173.58,financing,0.947
2023-03-06,Q1,270294.22,65192.62,0.0,205101.6,5885275.18,financing,0.887
2023-03-07,Q1,147979.74,172524.2,0.0,-24544.45,5860730.73,operating,0.924
2023-03-08,Q1,84556.51,56419.66,0.0,28136.85,5888867.58,operating,0.863
2023-03-09,Q1,215665.66,82187.3,11778.22,121700.15,6010567.73,financing,0.871
2023-03-10,Q1,121031.13,69870.84,0.0,51160.29,6061728.02,operating,0.873
2023-03-11,Q1,46565.73,129813.86,0.0,-83248.13,5978479.89,investing,0.978
2023-03-12,Q1,144426.5,68663.6,0.0,75762.89,6054242.78,operating,0.976
2023-03-13,Q1,183260.18,110131.56,0.0,73128.62,6127371.4,operating,0.884
2023-03-14,Q1,209077.15,66767.91,24326.76,117982.47,6245353.87,financing,0.924
2023-03-15,Q1,236971.12,143372.99,10283.18,83314.95,6328668.82,financing,0.874
2023-03-16,Q1,111120.49,47956.38,4326.26,58837.86,6387506.68,investing,0.865
2023-03-17,Q1,166715.24,53652.52,0.0,113062.71,6500569.39,financing,0.926
2023-03-18,Q1,242526.96,96140.71,0.0,146386.25,6646955.64,operating,0.919
2023-03-19,Q1,88831.08,93020.9,14655.04,-18844.86,6628110.78,investing,0.867
2023-03-20,Q1,269182.91,78373.67,50802.06,140007.19,6768117.97,financing,0.949
2023-03-21,Q1,92516.9,73914.51,251160.66,-232558.26,6535559.71,financing,0.904
2023-03-22,Q1,217191.79,91015.2,31925.04,94251.55,6629811.26,financing,0.972
2023-03-23,Q1,120331.7,119996.47,0.0,335.23,6630146.49,financing,0.959
2023-03-24,Q1,358637.37,112988.47,0.0,245648.9,6875795.39,investing,0.876
2023-03-25,Q1,132463.38,86908.28,0.0,45555.1,6921350.49,financing,0.956
2023-03-26,Q1,138755.89,110847.42,0.0,27908.47,6949258.96,financing,0.897
2023-03-27,Q1,459410.95,88602.79,0.0,370808.15,7320067.11,financing,0.956
2023-03-28,Q1,261400.36,43684.57,0.0,217715.79,7537782.9,investing,0.91
2023-03-29,Q1,98317.45,150337.38,9475.41,-61495.33,7476287.57,investing,0.915
2023-03-30,Q1,191657.21,90432.57,0.0,101224.64,7577512.21,investing,0.9
2023-03-31,Q1,254283.59,102564.61,0.0,151718.98,7729231.19,investing,0.931
2023-04-01,Q2,77707.49,155982.89,0.0,-78275.41,7650955.78,investing,0.868
2023-04-02,Q2,209963.52,162580.87,0.0,47382.64,7698338.42,operating,0.919
2023-04-03,Q2,178248.36,109020.17,13913.84,55314.35,7753652.77,investing,0.882
2023-04-04,Q2,106412.45,180576.27,32926.55,-107090.37,7646562.4,operating,0.964
2023-04-05,Q2,273421.54,80498.47,0.0,192923.07,7839485.47,financing,0.864
2023-04-06,Q2,309739.68,82631.4,0.0,227108.28,8066593.75,financing,0.869
2023-04-07,Q2,237635.75,68263.73,0.0,169372.02,8235965.77,financing,0.944
2023-04-08,Q2,325445.95,147774.27,0.0,177671.68,8413637.45,investing,0.921
2023-04-09,Q2,110536.98,60002.3,0.0,50534.68,8464172.13,financing,0.874
2023-04-10,Q2,177246.57,137892.02,0.0,39354.56,8503526.69,investing,0.902
